k,model,auprc,auroc,brier,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
3,reduced_ssl,0.39286912555204784,0.5995989304812834,0.26361065428494956,386,166,79,34,15,5.266666666666667
3,reduced_ssl_plus_signal_phenotype,0.37958974019610525,0.5762032085561497,0.27194917981914174,386,166,79,34,17,4.647058823529412
3,reduced_ssl_plus_ssl_phenotype,0.38044697862641175,0.6004901960784313,0.26258429625303226,386,166,79,34,17,4.647058823529412
3,reduced_ssl_plus_both_phenotypes,0.3707671858933007,0.5764260249554367,0.27238253866401513,386,166,79,34,19,4.157894736842105
4,reduced_ssl,0.39286912555204784,0.5995989304812834,0.26361065428494956,386,166,79,34,15,5.266666666666667
4,reduced_ssl_plus_signal_phenotype,0.39781852681521185,0.6047237076648841,0.26252685995990555,386,166,79,34,18,4.388888888888889
4,reduced_ssl_plus_ssl_phenotype,0.3510591836903747,0.5857843137254901,0.26395919338827606,386,166,79,34,18,4.388888888888889
4,reduced_ssl_plus_both_phenotypes,0.34565577640419787,0.5831105169340463,0.2630956454994446,386,166,79,34,21,3.761904761904762
5,reduced_ssl,0.39286912555204784,0.5995989304812834,0.26361065428494956,386,166,79,34,15,5.266666666666667
5,reduced_ssl_plus_signal_phenotype,0.39439073292796256,0.5960338680926915,0.2630095975096656,386,166,79,34,19,4.157894736842105
5,reduced_ssl_plus_ssl_phenotype,0.3735637645370127,0.5882352941176471,0.26581594688769633,386,166,79,34,19,4.157894736842105
5,reduced_ssl_plus_both_phenotypes,0.37761745871660546,0.5840017825311943,0.265308384297689,386,166,79,34,23,3.4347826086956523
