outcome,model,interpretation_status,auprc,auroc,brier,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
neonatal_risk,signal_10,descriptive,0.37645963739658134,0.642825311942959,0.2482316430404819,386,166,79,34,10,7.9
neonatal_risk,signal_10_plus_ssl_pca5,descriptive,0.39286912555204784,0.5995989304812834,0.26361065428494956,386,166,79,34,15,5.266666666666667
cord_ph_lt_7_15,signal_10,descriptive,0.4161157336948176,0.643654591023012,0.24721712176100538,386,166,72,33,10,7.2
cord_ph_lt_7_15,signal_10_plus_ssl_pca5,descriptive,0.40439582727059403,0.6138072453861928,0.25894321829373435,386,166,72,33,15,4.8
apgar5_lt_7,signal_10,exploratory_unstable,0.05930592141803005,0.4598765432098766,0.2409342327706798,386,166,15,4,10,1.5
apgar5_lt_7,signal_10_plus_ssl_pca5,exploratory_unstable,0.059100628930817606,0.6172839506172839,0.23071718582326056,386,166,15,4,15,1.0
cord_ph_lt_7_10,signal_10,descriptive,0.45072781798104566,0.7479412817758683,0.2241377727771595,386,166,37,19,10,3.7
cord_ph_lt_7_10,signal_10_plus_ssl_pca5,descriptive,0.45876297128180354,0.7429287504475475,0.22171162689500729,386,166,37,19,15,2.466666666666667
cord_ph_lt_7_05,signal_10,descriptive,0.5720614156387664,0.8282560706401766,0.2112377438275691,386,166,25,15,10,2.5
cord_ph_lt_7_05,signal_10_plus_ssl_pca5,descriptive,0.5381507675020977,0.7991169977924945,0.20616885610029376,386,166,25,15,15,1.6666666666666667
