architecture,fold,selection_scope,epochs,trainable_parameters,auprc,auroc,brier,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
p80_d64_l3_channel_cw02,1,development_only,4,172816,0.34608406591682384,0.6437908496732025,0.22589875007608065,257,129,52,27,15,3.466666666666667
p80_d64_l3_channel_cw02,2,development_only,4,172816,0.5509688837237937,0.7740851381628081,0.19460979449028307,257,129,53,26,15,3.533333333333333
p80_d64_l3_channel_cw02,3,development_only,4,172816,0.2729899157445502,0.6214177978883861,0.24494643244150852,258,128,53,26,15,3.533333333333333
p60_d64_l2_mixed_cw02,1,development_only,4,121532,0.3492296871841878,0.6252723311546842,0.22315389297598406,257,129,52,27,15,3.466666666666667
p60_d64_l2_mixed_cw02,2,development_only,4,121532,0.5670188163340956,0.772218073188947,0.19008489940797477,257,129,53,26,15,3.533333333333333
p60_d64_l2_mixed_cw02,3,development_only,4,121532,0.29718958707290083,0.6395173453996984,0.2320138317322301,258,128,53,26,15,3.533333333333333
p80_d48_l2_mixed_cw01,1,development_only,4,74768,0.3105666469863302,0.6289034132171386,0.22739890405703245,257,129,52,27,15,3.466666666666667
p80_d48_l2_mixed_cw01,2,development_only,4,74768,0.5730251693018793,0.799477221807319,0.18277677879143403,257,129,53,26,15,3.533333333333333
p80_d48_l2_mixed_cw01,3,development_only,4,74768,0.29778685918292996,0.6342383107088989,0.2303704737471802,258,128,53,26,15,3.533333333333333
p120_d64_l2_block_cw02,1,development_only,4,126712,0.34117669303678566,0.6241830065359477,0.23206584046927134,257,129,52,27,15,3.466666666666667
p120_d64_l2_block_cw02,2,development_only,4,126712,0.5230461949711561,0.7442120985810307,0.19812659165756616,257,129,53,26,15,3.533333333333333
p120_d64_l2_block_cw02,3,development_only,4,126712,0.32450643583716177,0.6470588235294117,0.2312723765542672,258,128,53,26,15,3.533333333333333
